num,dev_mode,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,loc,actual
22,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,66.6,300.0
23,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,29.5,120.0
24,semidetached,1.15,1.0,1.0,1.11,1.0,1.0,1.0,1.0,0.91,0.86,1.0,1.0,1.0,1.0,1.0,15.0,90.0
25,semidetached,1.15,1.0,1.15,1.0,1.0,1.0,1.0,1.0,0.91,0.86,1.0,1.0,1.0,1.0,1.0,38.0,210.0
26,semidetached,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,0.86,1.0,1.0,1.0,1.0,1.0,10.0,48.0
27,semidetached,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,15.4,70.0
28,semidetached,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,48.5,239.0
29,semidetached,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,16.3,82.0
30,semidetached,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,12.8,62.0
31,semidetached,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,32.6,170.0
32,semidetached,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,35.5,192.0
33,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,5.5,18.0
34,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,10.4,50.0
35,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,14.0,60.0
36,semidetached,1.15,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.5,42.0
37,semidetached,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,60.0
38,semidetached,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,0.86,1.0,0.95,0.91,0.91,1.0,90.0,444.0
39,semidetached,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,42.0
40,semidetached,1.0,1.0,1.15,1.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,114.0
41,semidetached,1.0,1.08,1.15,1.3,1.06,0.87,1.07,0.86,1.0,0.86,1.1,0.95,0.91,1.0,1.08,177.9,1248.0
42,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,0.86,1.0,1.0,0.91,1.24,1.0,302.0,2400.0
43,semidetached,1.0,1.08,0.85,1.0,1.0,1.15,1.0,0.86,0.91,1.0,1.0,1.0,0.91,0.91,1.0,282.1,1368.0
44,semidetached,1.15,1.08,0.85,1.0,1.0,1.0,1.07,0.86,0.91,1.0,1.0,1.0,0.91,1.0,1.0,284.7,973.0
45,semidetached,1.15,1.08,1.0,1.0,1.0,0.87,0.87,1.0,0.91,0.86,1.0,0.95,1.0,1.0,1.0,79.0,400.0
46,semidetached,0.88,1.0,1.0,1.0,1.0,0.87,0.87,0.86,0.91,0.7,1.0,0.95,1.1,1.1,1.04,423.0,2400.0
47,semidetached,1.0,1.0,1.0,1.0,1.0,0.87,1.0,0.86,0.82,0.7,1.1,0.95,0.91,1.0,1.0,190.0,420.0
48,semidetached,1.0,1.0,1.15,1.0,1.06,1.0,1.0,0.86,0.91,1.0,1.0,0.95,0.91,1.0,1.04,47.5,252.0
49,semidetached,1.4,1.0,1.3,1.11,1.06,0.87,0.87,1.0,0.91,1.0,1.0,1.0,1.1,0.91,1.0,21.0,107.0
50,semidetached,1.0,1.08,1.15,1.3,1.0,1.0,1.07,0.86,0.91,0.86,1.0,0.95,1.1,1.1,1.04,78.0,571.4
51,semidetached,1.0,1.08,1.15,1.3,1.0,1.0,1.07,0.86,0.91,0.86,1.0,0.95,1.1,1.1,1.04,11.4,98.8
52,semidetached,1.0,1.08,1.15,1.3,1.0,1.0,1.07,0.86,0.91,0.86,1.0,0.95,1.1,1.1,1.04,19.3,155.0
53,semidetached,1.15,1.0,1.3,1.11,1.06,0.87,1.07,0.86,1.0,1.0,0.9,0.95,1.1,0.83,1.04,101.0,750.0
54,semidetached,1.15,1.0,1.15,1.11,1.06,0.87,1.07,1.0,0.91,1.0,1.0,1.0,1.1,0.83,1.0,219.0,2120.0
55,semidetached,1.15,1.0,1.15,1.11,1.06,0.87,1.07,1.0,0.91,1.0,1.0,1.0,1.1,0.83,1.0,50.0,370.0
56,semidetached,1.4,1.08,1.15,1.3,1.21,1.0,1.0,0.71,0.82,0.7,1.0,0.95,0.91,0.91,1.08,227.0,1181.0
57,semidetached,1.0,1.08,1.3,1.0,1.0,0.87,1.0,0.86,1.0,0.7,1.1,1.0,0.91,1.0,1.08,70.0,278.0
58,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,0.9,8.4
59,semidetached,1.4,0.94,1.3,1.3,1.21,0.87,0.87,0.86,0.82,0.86,1.21,0.95,1.24,1.24,1.04,980.0,4560.0
60,embedded,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.71,1.0,0.7,0.9,0.95,1.0,1.1,1.0,350.0,720.0
61,embedded,1.15,1.0,1.3,1.11,1.06,0.87,0.87,0.86,1.0,1.0,0.9,0.95,0.91,0.91,1.0,70.0,458.0
62,embedded,1.15,1.0,1.3,1.11,1.06,0.87,0.87,0.86,1.0,1.0,0.9,0.95,0.91,0.91,1.0,271.0,2460.0
63,organic,1.0,1.0,1.0,1.0,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.1,1.0,90.0,162.0
64,organic,1.0,1.0,1.0,1.0,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.1,1.0,40.0,150.0
65,embedded,1.15,1.0,1.15,1.11,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.0,1.0,137.0,636.0
66,embedded,1.15,1.0,1.15,1.11,1.0,1.15,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.24,1.0,150.0,882.0
67,embedded,1.4,1.0,1.15,1.11,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.0,1.0,339.0,444.0
68,organic,0.88,1.08,0.85,1.0,1.0,1.15,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.1,1.0,240.0,192.0
69,semidetached,1.15,1.0,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,144.0,576.0
70,semidetached,1.0,0.94,1.0,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,151.0,432.0
71,semidetached,1.0,0.94,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,34.0,72.0
72,semidetached,1.0,1.0,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,98.0,300.0
73,semidetached,1.0,1.0,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,85.0,300.0
74,semidetached,1.0,0.94,1.0,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,20.0,240.0
75,semidetached,1.0,0.94,1.0,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,111.0,600.0
76,semidetached,1.15,1.16,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,162.0,756.0
77,semidetached,1.15,1.08,1.3,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,352.0,1200.0
78,semidetached,1.15,1.0,1.3,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,165.0,97.0
79,embedded,1.15,1.0,1.3,1.11,1.06,0.87,1.15,0.86,1.0,1.0,0.9,0.95,0.91,0.83,1.04,60.0,409.0
80,embedded,1.15,1.0,1.3,1.11,1.06,0.87,1.15,0.86,1.0,1.0,0.9,0.95,0.91,0.83,1.04,100.0,703.0
81,embedded,1.15,1.16,1.3,1.3,1.21,1.15,1.07,1.0,1.0,1.0,1.1,1.07,1.0,1.0,1.04,32.0,1350.0
82,embedded,1.15,1.08,1.15,1.3,1.21,1.15,1.07,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.0,53.0,480.0
83,embedded,1.15,0.94,1.3,1.3,1.21,0.87,1.0,0.71,0.82,0.7,1.21,1.14,0.91,0.91,1.0,41.0,599.0
84,embedded,1.15,0.94,1.3,1.3,1.21,0.87,1.0,0.71,0.82,0.7,1.21,1.14,0.91,0.91,1.0,24.0,430.0
85,embedded,1.4,1.08,1.3,1.3,1.21,1.0,1.0,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,165.0,4178.2
86,embedded,1.4,1.08,1.3,1.3,1.21,1.0,1.0,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,65.0,1772.5
87,embedded,1.4,1.08,1.3,1.3,1.21,1.0,0.87,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,70.0,1645.9
88,embedded,1.4,1.08,1.3,1.3,1.21,1.0,1.0,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,50.0,1924.5
89,embedded,1.4,0.94,1.3,1.3,1.21,0.87,0.87,0.86,1.13,1.0,1.21,1.07,1.1,0.91,1.04,7.25,648.0
90,embedded,1.4,1.08,1.3,1.3,1.21,1.0,1.0,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,233.0,8211.0
91,embedded,1.15,1.0,1.3,1.3,1.21,1.15,1.07,1.0,1.0,1.0,1.1,1.07,1.0,1.0,1.04,16.3,480.0
92,embedded,1.15,1.0,1.3,1.3,1.21,1.15,1.07,1.0,1.0,1.0,1.1,1.07,1.0,1.0,1.04,6.2,12.0
93,embedded,1.15,1.0,1.3,1.3,1.21,1.15,1.07,1.0,1.0,1.0,1.1,1.07,1.0,1.0,1.04,3.0,38.0
