repo,author_months,total_kloc,contributor_count,avg_pr_review_days,pr_merge_rate,has_ci,test_file_ratio,lang_count,commit_frequency,stars,ai_tools_count,ai_tools_list
home-assistant/core,28.1,16696.7,218,0.27,0.815,1,0.278,6,270.97,87431,3,"Agents,Claude,Copilot"
encode/uvicorn,24.85,94.6,140,0.02,0.608,1,0.1935,2,2.58,10716,0,
tornadoweb/tornado,17.6,221.8,71,0.03,0.795,1,0.2555,5,2.58,22179,0,
falconry/falcon,17.1,165.3,74,0.84,0.855,1,0.2698,8,1.52,9797,0,
numpy/numpy,33.35,3509.2,127,0.14,0.738,1,0.2428,10,36.36,32118,0,
matplotlib/matplotlib,33.15,9746.6,114,0.18,0.67,1,0.5481,12,5.94,22851,0,
scikit-learn/scikit-learn,46.15,3653.8,257,1.4,0.585,1,0.246,9,23.08,66207,1,Agents
Lightning-AI/lightning,38.55,2674.5,179,3.45,0.858,1,0.3153,3,9.02,31167,0,
mlflow/mlflow,25.1,29400.1,102,0.05,0.68,1,0.1126,13,103.7,26215,2,"Agents,Claude"
prefecthq/prefect,22.8,4431.8,76,0.12,0.735,1,0.1438,14,65.12,22511,2,"Agents,Claude"
pola-rs/polars,40.25,4114.9,128,0.15,0.8,1,0.2116,8,41.38,38634,0,
pypa/pip,28.4,1488.1,104,1.76,0.598,1,0.1389,4,3.99,10189,0,
sphinx-doc/sphinx,26.0,2184.0,105,0.13,0.828,1,0.5321,14,16.57,7862,0,
mkdocs/mkdocs,17.7,664.8,88,7.68,0.657,1,0.1893,4,2.52,22121,0,
Delgan/loguru,12.4,49.0,49,0.58,0.743,1,0.165,1,1.78,23931,0,
tiangolo/typer,30.85,71.3,73,0.65,0.74,1,0.3766,3,7.47,19508,0,
httpie/cli,11.6,138.5,63,1.04,0.715,1,0.1585,5,2.44,38189,0,
nestjs/nest,19.2,9692.1,47,0.5,0.682,1,0.132,3,51.22,75614,0,
sveltejs/svelte,40.15,2414.5,140,0.27,0.775,1,0.9288,5,18.54,86674,1,Agents
trpc/trpc,36.9,1387.6,199,0.02,0.703,1,0.2465,4,9.43,40288,0,
prisma/prisma,38.15,3361.1,112,1.05,0.698,1,0.4246,7,15.73,46040,2,"Agents,Claude"
cli/cli,18.85,1541.3,64,0.95,0.54,1,0.4028,5,10.46,44664,1,Agents
helm/helm,36.5,554.7,126,3.6,0.598,1,0.8266,3,5.29,29831,1,Agents
prometheus/prometheus,31.0,5642.8,138,1.6,0.718,1,0.419,12,7.39,64222,2,"Agents,Claude"
grafana/loki,32.5,9553.6,106,0.13,0.135,1,0.0689,15,44.68,28275,1,Agents
charmbracelet/bubbletea,26.2,117.3,105,0.34,0.73,1,0.0965,1,4.71,42795,0,
BurntSushi/ripgrep,17.9,110.3,195,0.03,0.295,1,0.045,5,2.21,64460,0,
sharkdp/bat,27.35,699.6,150,0.69,0.745,1,0.2244,5,4.24,59093,0,
tokio-rs/axum,38.3,119.3,343,0.49,0.772,1,0.3717,3,5.81,26096,0,
jekyll/jekyll,24.05,1419.5,157,2.5,0.542,1,0.0969,11,2.32,51464,0,
square/okhttp,34.1,1269.0,62,0.43,0.787,1,0.1108,3,5.53,46969,0,
open-telemetry/opentelemetry-python,52.3,981.2,260,5.92,0.608,1,0.3105,3,4.65,2470,2,"Agents,Claude"
tiangolo/sqlmodel,30.4,158.1,113,0.42,0.685,1,0.335,3,4.83,17986,0,
astral-sh/uv,24.75,3292.4,90,0.63,0.748,1,0.111,11,51.85,85793,2,"Agents,Claude"
python-attrs/attrs,25.5,107.9,106,0.04,0.86,1,0.214,2,3.45,5791,0,
pallets/jinja,14.5,138.7,80,1.7,0.698,1,0.271,3,2.45,11648,0,
pypa/virtualenv,26.45,3592.2,119,0.17,0.89,1,0.203,7,2.94,5037,0,
jazzband/django-debug-toolbar,29.3,231.1,115,1.14,0.87,1,0.124,6,2.6,8369,0,
redis/redis-py,43.95,261.4,304,4.93,0.807,1,0.328,2,4.15,13553,1,Claude
encode/databases,3.0,17.4,34,4.89,0.718,1,0.16,2,0.43,4004,0,
strawberry-graphql/strawberry,41.45,385.4,144,0.62,0.8,1,0.322,7,7.75,4665,0,
simonw/datasette,17.35,173.3,31,0.03,0.748,1,0.281,8,5.43,11131,0,
TanStack/query,32.3,2216.2,190,0.01,0.815,1,0.041,6,19.58,49538,0,
TanStack/router,31.05,1752.3,141,0.02,0.667,1,0.218,6,38.01,14532,1,Agents
pmndrs/zustand,37.05,159.5,307,0.1,0.682,1,0.042,2,3.49,58158,0,
immerjs/immer,8.7,134.3,93,23.14,0.807,1,0.018,5,1.36,28941,0,
biomejs/biome,35.9,5216.2,135,0.67,0.855,1,0.82,12,43.52,24791,2,"Agents,Claude"
evanw/esbuild,16.25,406.5,42,4.22,0.573,1,0.112,7,6.38,39899,0,
radix-ui/primitives,26.85,433.4,90,0.07,0.62,1,0.005,4,4.22,18928,0,
go-chi/chi,7.0,77.1,78,9.64,0.64,1,0.242,2,0.65,22259,0,
labstack/echo,13.45,136.6,116,0.04,0.637,1,0.415,3,1.4,32423,1,Claude
go-gorm/gorm,28.55,96.2,222,9.2,0.51,1,0.53,2,2.54,39763,0,
spf13/cobra,13.65,42.1,133,1.31,0.623,1,0.273,2,0.86,44036,0,
spf13/viper,16.95,32.5,64,3.37,0.703,1,0.2,4,1.76,30270,0,
urfave/cli,24.9,247.0,93,2.8,0.877,1,0.147,3,6.12,24099,0,
kubernetes-sigs/kind,32.5,277.3,132,0.3,0.708,1,0.108,8,6.01,15271,0,
serde-rs/serde,19.7,175.2,67,0.0,0.713,1,0.753,1,3.7,10598,0,
clap-rs/clap,20.25,416.9,94,0.12,0.723,1,0.236,7,10.66,16421,0,
actix/actix-web,27.25,356.5,124,0.2,0.868,1,0.212,4,5.16,24657,0,
rayon-rs/rayon,14.65,72.1,51,0.02,0.863,1,0.078,2,2.04,13023,0,
sinatra/sinatra,12.0,156.6,62,0.02,0.807,1,0.52,8,1.12,12434,0,
hashicorp/vault,7.2,7086.8,11,0.12,0.29,1,0.204,13,48.0,35697,1,Copilot
kubernetes-sigs/kustomize,40.05,1933.9,144,1.9,0.495,1,0.314,9,4.74,12058,0,
argoproj/argo-cd,40.8,3832.5,214,0.54,0.805,1,0.48,13,42.0,23022,2,"Agents,Claude"
